age,shape,scale,loc,invert_data,fit_method
5.0,0.22191018071840848,20.0,0,True,lognorm
6.0,0.18736555406105757,20.0,0,True,lognorm
7.0,0.20745464111611658,20.0,0,True,lognorm
8.0,0.21391565282540434,18.169301135308253,0,True,lognorm
9.0,0.17159580382108972,17.759736175221263,0,True,lognorm
10.0,0.16116246553529293,16.292752060858465,0,True,lognorm
11.0,0.15231815827567285,15.064827442385756,0,True,lognorm
12.0,0.1461485593726623,14.063474241245304,0,True,lognorm
13.0,0.14453176514645646,13.132344107566489,0,True,lognorm
14.0,0.14509018732333656,12.308915433366197,0,True,lognorm
15.0,0.14499351468597171,11.641608411002098,0,True,lognorm
16.0,0.14250209037793393,11.234017734533756,0,True,lognorm
17.0,0.14104557023583927,11.048926191763577,0,True,lognorm
18.0,0.14143713506377614,10.942361309894942,0,True,lognorm
